film_uri,rank,neighbour_key,neighbour_title,neighbour_year,neighbour_rating,neighbour_tmdb_id,neighbour_poster,share,neighbour_sensitive
https://boxd.it/stYk,2,The Drama (2026),The Drama,2026,3.5,1325734.0,/rnIOUhzwJDfgQakx8EjoNyItKgs.jpg,0.033421192,False
https://boxd.it/stYk,3,Rye Lane (2023),Rye Lane,2023,4.5,1049638.0,/int5eEKNc8g0V5i3XYaPeaC6paD.jpg,0.029828599,False
https://boxd.it/stYk,4,Eternity (2025),Eternity,2025,4.0,1259102.0,/yiwGcjfDKXD5PqQnyKUU9kspWQQ.jpg,0.027340867,False
https://boxd.it/stYk,5,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.026865292,False
https://boxd.it/1RyG,1,Gulliver's Travels (2010),Gulliver's Travels,2010,1.5,38745.0,/6NoEtuTwZ04luk5H2DpT5ivW7Mg.jpg,0.03681409,False
https://boxd.it/1RyG,2,The Pink Panther (2006),The Pink Panther,2006,4.0,12096.0,/57ViRkdsddHLK32W8Nf3ZPLSAu4.jpg,0.035105545,False
https://boxd.it/1RyG,3,The Maiden Heist (2009),The Maiden Heist,2009,1.0,24271.0,/vrp0dqlp74A02YaUiwNpLElgTR0.jpg,0.03498189,False
https://boxd.it/1RyG,4,Thunderbirds (2004),Thunderbirds,2004,4.5,14623.0,/1jH0vADEIvuRlkvJzLUW5nVO96d.jpg,0.03361418,False
https://boxd.it/1RyG,5,You're Cordially Invited (2025),You're Cordially Invited,2025,1.5,996821.0,/muXnwAdVdEEktto0NBNMyqK3uQH.jpg,0.03333119,False
https://boxd.it/kOf0,1,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.030525528,False
https://boxd.it/kOf0,2,The Guardians of the Galaxy Holiday Special (2022),The Guardians of the Galaxy Holiday Special,2022,4.0,774752.0,/8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg,0.024955204,False
https://boxd.it/kOf0,3,M3GAN (2022),M3GAN,2022,4.0,536554.0,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,0.023815237,False
https://boxd.it/kOf0,4,Nobody 2 (2025),Nobody 2,2025,2.0,1007734.0,/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg,0.023206793,False
https://boxd.it/kOf0,5,Send Help (2026),Send Help,2026,3.0,1198994.0,/zbJWVHOtj3ljBzWgL1P8pxP03Up.jpg,0.022157047,False
https://boxd.it/vaiU,1,Rye Lane (2023),Rye Lane,2023,4.5,1049638.0,/int5eEKNc8g0V5i3XYaPeaC6paD.jpg,0.041672412,False
https://boxd.it/vaiU,2,The Last Sunrise (2026),The Last Sunrise,2026,2.5,1516698.0,/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg,0.037908968,False
https://boxd.it/vaiU,3,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.027877195,False
https://boxd.it/vaiU,4,An Almost Christmas Story (2024),An Almost Christmas Story,2024,4.0,1355755.0,/mQC3nIJ9DQ74t9vFzUjqP8eohgX.jpg,0.027417826,False
https://boxd.it/vaiU,5,In the Loop (2009),In the Loop,2009,4.0,19833.0,/jL6txnziFSeEifQkqnPBtaPaiXU.jpg,0.025132565,False
https://boxd.it/9Uis,1,Man Up (2015),Man Up,2015,3.5,332340.0,/tJskXY0qQcc21UzkGPyiGRKw2md.jpg,0.04370099,False
https://boxd.it/9Uis,2,The Wonder (2022),The Wonder,2022,3.5,823766.0,/wZvZgA7IkDX78UilzqBGh0QTQvC.jpg,0.034885287,False
https://boxd.it/9Uis,3,Your Christmas or Mine? (2022),Your Christmas or Mine?,2022,2.5,865559.0,/A806wuTGJECDh9krhQAhnieQcLr.jpg,0.0329011,False
https://boxd.it/9Uis,4,High School Musical 2 (2007),High School Musical 2,2007,4.0,13649.0,/kqImEYXsDIlzPpu0KxyTXIx7smW.jpg,0.02948101,False
https://boxd.it/9Uis,5,Happiness for Beginners (2023),Happiness for Beginners,2023,3.0,881209.0,/rK4jb2t3J98IXjY9O3nc8bX9yqt.jpg,0.029076325,False
https://boxd.it/uo2u,1,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.033261918,False
https://boxd.it/uo2u,2,The Last Sunrise (2026),The Last Sunrise,2026,2.5,1516698.0,/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg,0.032360114,False
https://boxd.it/uo2u,3,Nobody 2 (2025),Nobody 2,2025,2.0,1007734.0,/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg,0.031890996,False
https://boxd.it/uo2u,4,Rye Lane (2023),Rye Lane,2023,4.5,1049638.0,/int5eEKNc8g0V5i3XYaPeaC6paD.jpg,0.026741799,False
